,PLAYER_ID,PLAYER_NAME,STARTER_GAMES,BENCH_GAMES,TOTAL_GAMES,PERCENT_STARTS,STARTER
121,202066,Garrett Temple,18.0,34.0,52.0,0.34615384615384615,IN_BETWEEN
122,203914,Gary Harris,6.0,49.0,55.0,0.10909090909090909,NO
123,202390,Gary Neal,1.0,53.0,54.0,0.018518518518518517,NO
124,201588,George Hill,36.0,7.0,43.0,0.8372093023255814,YES
125,101123,Gerald Green,4.0,70.0,74.0,0.05405405405405406,NO
126,201945,Gerald Henderson,72.0,8.0,80.0,0.9,YES
127,203507,Giannis Antetokounmpo,71.0,10.0,81.0,0.8765432098765432,YES
128,203540,Gigi Datome,1.0,20.0,21.0,0.047619047619047616,NO
129,203922,Glenn Robinson III,1.0,34.0,35.0,0.02857142857142857,NO
130,201609,Goran Dragic,78.0,0.0,78.0,1.0,YES
131,202330,Gordon Hayward,76.0,0.0,76.0,1.0,YES
132,203476,Gorgui Dieng,49.0,24.0,73.0,0.6712328767123288,IN_BETWEEN
133,202328,Greg Monroe,57.0,12.0,69.0,0.8260869565217391,YES
134,202962,Greg Smith,2.0,40.0,42.0,0.047619047619047616,NO
135,202349,Greivis Vasquez,29.0,53.0,82.0,0.35365853658536583,IN_BETWEEN
136,203084,Harrison Barnes,82.0,0.0,82.0,1.0,YES
137,202355,Hassan Whiteside,32.0,16.0,48.0,0.6666666666666666,IN_BETWEEN
138,2045,Hedo Turkoglu,2.0,60.0,62.0,0.03225806451612903,NO
139,203156,Henry Sims,32.0,41.0,73.0,0.4383561643835616,IN_BETWEEN
140,201611,Henry Walker,13.0,11.0,24.0,0.5416666666666666,IN_BETWEEN
141,203138,Hollis Thompson,23.0,48.0,71.0,0.323943661971831,IN_BETWEEN
142,101133,Ian Mahinmi,6.0,55.0,61.0,0.09836065573770492,NO
143,202697,Iman Shumpert,25.0,37.0,62.0,0.4032258064516129,IN_BETWEEN
144,203477,Isaiah Canaan,21.0,26.0,47.0,0.44680851063829785,IN_BETWEEN
145,202738,Isaiah Thomas,1.0,66.0,67.0,0.014925373134328358,NO
146,202397,Ish Smith,14.0,41.0,55.0,0.2545454545454545,IN_BETWEEN
147,200826,J.J. Barea,10.0,67.0,77.0,0.12987012987012986,NO
148,201581,JJ Hickson,8.0,65.0,73.0,0.1095890410958904,NO
149,200755,JJ Redick,78.0,0.0,78.0,1.0,YES
150,2747,JR Smith,51.0,19.0,70.0,0.7285714285714285,IN_BETWEEN
151,203960,JaKarr Sampson,32.0,42.0,74.0,0.43243243243243246,IN_BETWEEN
152,203210,JaMychal Green,1.0,23.0,24.0,0.041666666666666664,NO
153,203913,Jabari Brown,5.0,14.0,19.0,0.2631578947368421,IN_BETWEEN
154,203953,Jabari Parker,25.0,0.0,25.0,1.0,YES
155,203109,Jae Crowder,17.0,65.0,82.0,0.2073170731707317,IN_BETWEEN
156,2037,Jamal Crawford,4.0,60.0,64.0,0.0625,NO
157,2749,Jameer Nelson,29.0,34.0,63.0,0.4603174603174603,IN_BETWEEN
158,203516,James Ennis III,3.0,59.0,62.0,0.04838709677419355,NO
159,201935,James Harden,81.0,0.0,81.0,1.0,YES
160,201949,James Johnson,17.0,53.0,70.0,0.24285714285714285,IN_BETWEEN
161,2592,James Jones,2.0,55.0,57.0,0.03508771929824561,NO
162,201162,Jared Dudley,22.0,50.0,72.0,0.3055555555555556,IN_BETWEEN
163,203096,Jared Sullinger,49.0,9.0,58.0,0.8448275862068966,YES
164,203950,Jarnell Stokes,2.0,17.0,19.0,0.10526315789473684,NO
165,101127,Jarrett Jack,27.0,53.0,80.0,0.3375,IN_BETWEEN
166,2202,Jason Richardson,15.0,4.0,19.0,0.7894736842105263,IN_BETWEEN
